	rock	indie	pop	alternative	electronic	classic rock	female vocalists	alternative rock	british	indie rock	soul	dance	singer songwriter	folk	rap	indie pop	hard rock	american	acoustic	metal	house	hip hop	chillout	electronica	80s	jazz	male vocalists	blues	britpop	rnb	experimental	funk	grunge	punk	ambient	new wave	psychedelic	90s	progressive rock	heavy metal	downtempo	canadian	70s	reggae	psychedelic rock	electro	r&b	00s	60s	dubstep	techno	country	instrumental	australian	synthpop	glam rock	french	oldies	electropop	classical	emo	pop rock	dream pop	swedish	thrash metal	female vocalist	dancehall	irish	piano	uk	punk rock	soundtrack	latin	lo fi	industrial	alternative metal	rhythm and blues	disco	shoegaze	indie folk	favorites	female	electro house	dub	sexy	legend	chill	motown	guitar	swing	english	folk rock	club	soft rock	PC1_sum	PC2_sum	k_means_groups
French Southern Territories	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Portugal	0.091428	0.084714	0.023459	0.073057	0.055298	0.029749	0.017063	0.039709	0.028015	0.040737	0.009982	0.010595	0.013101	0.017697	0.008041	0.015571	0.013622	0.009255	0.006245	0.009362	0.00456	0.004254	0.009122	0.010286	0.007005	0.005795	0.005111	0.006465	0.009623	0.003179	0.01408	0.004268	0.011645	0.007232	0.006283	0.008684	0.011652	0.005906	0.006396	0.005346	0.006428	0.004573	0.00389	0.001397	0.00761	0.004495	0.001787	0.003558	0.003405	0.004632	0.002275	0.001406	0.002454	0.00301	0.002733	0.003028	0.002901	0.00232	0.002023	0.000159	0.000755	0.001412	0.0047	0.001075	0.002305	0.000973	0.00159	0.000781	0.000294	0.002454	0.003108	0.000471	0.0	0.00696	0.002336	0.00248	0.000819	0.001066	0.003409	0.002948	0.001758	0.000578	0.000464	0.001226	0.000558	0.000863	0.000934	0.001097	0.001172	0.001321	0.001201	0.001934	0.000531	0.000358	-0.176160327053	0.0102816857754	0
South Africa	0.100737	0.09021	0.032536	0.077535	0.046985	0.033087	0.01822	0.04217	0.031157	0.038222	0.009695	0.011721	0.020186	0.027626	0.007429	0.019141	0.013566	0.010369	0.013674	0.010603	0.007287	0.003542	0.008163	0.007489	0.007592	0.002233	0.006343	0.008277	0.009655	0.002647	0.004875	0.003165	0.010644	0.007943	0.004174	0.005952	0.005787	0.006354	0.005135	0.00429	0.004613	0.003768	0.004143	0.002901	0.004621	0.002965	0.001509	0.003459	0.00337	0.002008	0.002793	0.003281	0.000498	0.002808	0.002785	0.002847	0.001717	0.001331	0.00175	0.000187	0.003181	0.001661	0.001568	0.00141	0.002023	0.001163	0.001279	0.001981	0.001205	0.002339	0.002007	0.000516	0.0	0.002457	0.003921	0.002922	0.000506	0.001082	0.001642	0.003479	0.002132	0.000685	0.001469	0.000962	0.000452	0.000805	0.001681	0.0005	0.001532	0.0	0.001293	0.002854	0.001	0.000951	-0.187754320911	0.0153925535765	0
Cyprus	0.102816	0.055948	0.038783	0.063103	0.043005	0.046299	0.020563	0.037941	0.03106	0.020202	0.021114	0.014644	0.016973	0.017956	0.006975	0.010707	0.023146	0.009693	0.008718	0.013327	0.009331	0.004219	0.008231	0.006544	0.008955	0.009667	0.006971	0.011957	0.009157	0.004568	0.004057	0.006924	0.011061	0.009352	0.002742	0.004596	0.005678	0.006211	0.006104	0.00875	0.004577	0.00337	0.007496	0.004437	0.005478	0.003359	0.002381	0.002942	0.005628	0.002029	0.002123	0.003309	0.00185	0.002696	0.001578	0.00311	0.001078	0.00397	0.001603	0.001355	0.002208	0.002204	0.000772	0.000883	0.002741	0.001229	0.001814	0.002209	0.001569	0.002305	0.003143	0.00016	0.0	0.001085	0.001749	0.003246	0.002173	0.00139	0.001248	0.00117	0.001858	0.001058	0.002017	0.001378	0.000836	0.00139	0.001213	0.002354	0.002131	0.001989	0.001299	0.001407	0.001403	0.001331	-0.170588329449	0.0189696868346	0
Brunei Darussalam	0.053067	0.08327	0.088008	0.054164	0.050713	0.005486	0.042102	0.020025	0.035377	0.02609	0.021373	0.021854	0.02165	0.020925	0.013813	0.02308	0.000986	0.012454	0.020358	0.001521	0.009963	0.00762	0.005596	0.006433	0.00246	0.004827	0.011381	0.003676	0.009878	0.009085	0.002636	0.0027	0.00276	0.004326	0.002934	0.000813	0.001946	0.002577	0.001435	0.000142	0.003286	0.006206	0.000503	0.002436	0.000846	0.004139	0.006368	0.004101	0.00023	0.004345	0.001565	0.002724	0.001129	0.002274	0.002899	0.001086	0.002215	0.001032	0.004517	0.000637	0.004665	0.003834	0.001249	0.001697	5.5e-05	0.003403	0.001877	0.003422	0.00257	0.002219	0.001138	0.001608	0.000318	0.001342	5.9e-05	0.000901	0.000656	0.001416	0.001253	0.003195	0.001361	0.002177	0.002454	0.001243	0.002344	0.001065	0.002034	3.3e-05	0.000437	0.001596	0.001625	0.002036	0.001337	0.00063	-0.143862719107	0.0942991791579	2
Malaysia	0.0668	0.06783	0.092482	0.05533	0.048054	0.008133	0.042135	0.028354	0.029122	0.019449	0.0199	0.024333	0.021475	0.018226	0.014355	0.017524	0.003176	0.012792	0.018343	0.002189	0.013742	0.008041	0.006069	0.005813	0.00361	0.004449	0.01116	0.002731	0.008337	0.009231	0.002551	0.003311	0.003177	0.006345	0.000686	0.00042	0.002203	0.004511	0.001583	0.000365	0.002702	0.006252	0.000744	0.001858	0.00175	0.004855	0.005305	0.004102	0.000218	0.003394	0.002072	0.002377	0.000374	0.003304	0.002226	0.002043	0.002073	0.000454	0.003892	0.000117	0.005306	0.004326	0.001328	0.002611	0.000278	0.003288	0.002155	0.003415	0.001528	0.001832	0.002198	0.000324	0.000234	0.00078	2.4e-05	0.000785	0.000564	0.001437	0.001176	0.002087	0.001689	0.002466	0.002712	0.001403	0.002027	0.0013	0.001811	0.000153	0.000451	0.000993	0.001527	0.001343	0.001565	0.000889	-0.147725291734	0.0906078076165	2
Austria	0.098183	0.079815	0.032067	0.066246	0.049376	0.039387	0.015171	0.035803	0.030729	0.034116	0.009108	0.013212	0.019869	0.025077	0.008156	0.014845	0.014436	0.008753	0.011473	0.010983	0.008007	0.004378	0.008016	0.007376	0.009379	0.003184	0.005955	0.007488	0.009651	0.002821	0.004692	0.004161	0.007692	0.009508	0.002947	0.005643	0.006375	0.005384	0.005561	0.00499	0.005097	0.004156	0.004701	0.001836	0.005433	0.003985	0.001227	0.003205	0.004758	0.002562	0.003277	0.003457	0.000673	0.003271	0.00226	0.003085	0.001942	0.0032	0.001454	0.000663	0.001453	0.001725	0.001063	0.001288	0.002384	0.000949	0.001871	0.001803	0.001305	0.002226	0.002572	0.000641	0.0	0.001705	0.003461	0.002441	0.000671	0.001265	0.001372	0.002693	0.002152	0.00056	0.001464	0.00132	0.000439	0.001156	0.00135	0.001144	0.00129	0.001186	0.001216	0.001913	0.001063	0.000965	-0.17705361575	0.0148810375318	0
Mozambique	0.106358	0.050082	0.044834	0.058877	0.03454	0.053103	0.019438	0.032901	0.025397	0.021363	0.019871	0.010179	0.022643	0.014392	0.008848	0.008076	0.016578	0.010243	0.010005	0.010247	0.003828	0.005103	0.008445	0.006794	0.012419	0.022027	0.007534	0.013209	0.010646	0.004158	0.00718	0.004828	0.010379	0.01295	0.004538	0.004987	0.004079	0.007665	0.007099	0.008861	0.00486	0.003366	0.007019	0.004473	0.004051	0.001747	0.002566	0.002978	0.00372	0.002649	0.001259	0.003636	0.001998	0.000857	0.001274	0.002914	0.000764	0.004067	0.00074	0.00361	0.000889	0.002047	0.000615	0.001426	0.003096	0.001568	0.000913	0.002371	0.002148	0.002183	0.00416	0.000423	0.000599	0.001154	0.000587	0.001645	0.001995	0.000508	0.000318	0.000813	0.00192	0.001203	0.001263	0.000793	0.000816	0.00144	0.00162	0.000744	0.002599	0.002694	0.001182	0.0009	0.000208	0.003697	-0.166164236033	0.0209806058891	0
Uganda	0.056245	0.045086	0.063421	0.042375	0.05978	0.025604	0.039174	0.018098	0.024517	0.013802	0.025087	0.024332	0.018608	0.012572	0.030205	0.012955	0.004387	0.008722	0.007715	0.001202	0.012623	0.016147	0.011154	0.012028	0.00855	0.008899	0.00711	0.006369	0.004553	0.008681	0.008727	0.005685	0.000294	0.003475	0.010635	0.00975	0.004069	0.005167	0.005594	0.000283	0.004728	0.007436	0.004892	0.010695	0.003133	0.005841	0.003932	0.003849	0.002021	0.005259	0.003065	0.003799	0.001579	0.002232	0.001232	0.002828	0.002031	0.001512	0.001424	0.00021	0.000818	0.001872	0.00344	0.002488	6e-05	0.003141	0.00658	0.001613	0.001336	0.002067	0.001839	0.001621	0.003113	0.000895	0.00014	0.00024	0.001319	0.001634	0.001191	0.000586	0.001543	0.002476	0.002306	0.002234	0.001832	0.00193	0.00148	0.000917	0.000865	0.000448	0.001354	0.001171	0.001619	0.002597	-0.125421687382	0.0768544008058	2
Japan	0.082915	0.021652	0.037318	0.033865	0.020744	0.034903	0.026634	0.021683	0.01121	0.01017	0.003465	0.009892	0.008558	0.008624	0.008462	0.003539	0.018734	0.003864	0.001947	0.005249	0.004936	0.005372	0.00089	0.004129	0.014532	0.004306	0.00634	0.004689	0.006197	0.003581	0.004261	0.001088	0.00405	0.013744	0.005976	0.005269	0.005455	0.006623	0.003381	0.003294	0.000276	0.000109	0.004283	0.002112	0.004712	0.000831	0.000828	0.002122	0.003245	0.000195	0.003782	0.000135	0.001242	0.0	0.000985	0.001227	0.003084	0.000834	0.000578	0.00064	0.000952	0.001914	0.001321	0.003381	9e-05	0.001128	3.5e-05	0.0	0.002758	0.001233	0.005741	0.006635	7.5e-05	0.00011	0.002623	0.000595	9.8e-05	0.003328	0.000311	0.0	0.001516	0.00165	0.002112	0.005795	0.000407	0.000939	0.000149	0.0	0.002535	0.0	0.000985	0.001015	0.000248	0.001819	-0.112033108229	0.0158427436671	3
Niger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Brazil	0.094156	0.055196	0.07229	0.058952	0.038212	0.027435	0.03943	0.033276	0.028715	0.021972	0.013952	0.022393	0.012211	0.006062	0.01242	0.014272	0.015617	0.010391	0.005942	0.0079	0.008327	0.006639	0.003421	0.004111	0.009832	0.002966	0.007726	0.005112	0.009521	0.007333	0.00241	0.006202	0.008777	0.00849	0.000282	0.00679	0.004955	0.005553	0.004813	0.005566	0.00187	0.004624	0.003668	0.002897	0.004486	0.003406	0.003775	0.003814	0.002683	0.002373	0.001805	0.001761	0.000102	0.001639	0.002119	0.002877	0.001587	0.000802	0.002687	3.3e-05	0.003254	0.004097	0.000894	0.001353	0.00208	0.003019	0.002239	0.001569	0.000391	0.002072	0.003118	0.000236	0.002019	0.000262	0.000101	0.001764	0.000672	0.001464	0.000195	0.000458	0.0016	0.002424	0.001839	0.001495	0.002309	0.001738	0.000931	0.000494	0.00084	0.0	0.001385	0.000536	0.001369	0.000539	-0.161366600375	0.0541488909122	3
Guinea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Panama	0.091738	0.041039	0.067976	0.055778	0.042155	0.025507	0.025634	0.03741	0.022326	0.016491	0.014331	0.024593	0.010143	0.003565	0.015592	0.009913	0.018175	0.011291	0.005374	0.013734	0.014367	0.008571	0.004038	0.005487	0.009004	0.003489	0.009897	0.003585	0.007304	0.006698	0.002623	0.00474	0.009992	0.00882	0.000426	0.003434	0.003032	0.006364	0.004961	0.005967	0.002303	0.003847	0.00385	0.003845	0.003332	0.005184	0.004467	0.003551	0.001454	0.004344	0.002573	0.001639	0.000229	0.00167	0.001193	0.002858	0.001567	0.001632	0.002579	9.4e-05	0.004265	0.003547	0.000673	0.001942	0.00241	0.002022	0.002355	0.002076	0.000401	0.00161	0.002619	0.000268	0.011638	0.000235	0.000399	0.003322	0.000763	0.001489	0.00074	0.00024	0.001513	0.001368	0.002938	0.00149	0.002365	0.001364	0.000765	0.000468	0.000395	0.001326	0.0012	0.000364	0.001657	0.00089	-0.15170273899	0.0475481456547	3
Korea, Republic of	0.06359	0.059817	0.074185	0.048557	0.053476	0.01966	0.036719	0.023686	0.02646	0.020552	0.024318	0.023054	0.017881	0.012497	0.014477	0.015186	0.006117	0.010097	0.011285	0.00339	0.010048	0.007954	0.006541	0.007668	0.006307	0.008267	0.008805	0.00577	0.007399	0.008929	0.006374	0.007976	0.004879	0.003539	0.004409	0.002461	0.005121	0.004199	0.004318	0.001831	0.003966	0.00649	0.002566	0.001623	0.003624	0.004376	0.00536	0.003823	0.001664	0.005738	0.002608	0.002548	0.001357	0.002181	0.003309	0.002895	0.002301	0.001636	0.003478	0.000491	0.002251	0.002712	0.003581	0.000851	0.001926	0.002933	0.001822	0.002339	0.001484	0.001921	0.000949	0.001349	0.0	0.002283	0.000119	0.000123	0.001439	0.001542	0.002103	0.001048	0.00142	0.002325	0.002188	0.001274	0.001822	0.001535	0.001283	0.001987	0.000641	0.000735	0.001336	0.000625	0.001449	0.000593	-0.139039923084	0.0752587993642	3
Costa Rica	0.117896	0.059286	0.03594	0.076925	0.040022	0.038146	0.019444	0.047929	0.026401	0.027674	0.0065	0.012487	0.009579	0.006922	0.006931	0.01238	0.023225	0.008857	0.003645	0.016974	0.006037	0.003839	0.004894	0.006622	0.010879	0.002551	0.005383	0.0056	0.010633	0.002401	0.004753	0.005387	0.016917	0.010992	0.001989	0.011568	0.007052	0.009277	0.007328	0.010806	0.002433	0.003389	0.005241	0.006607	0.005786	0.003168	0.001707	0.003289	0.003946	0.00219	0.001904	0.000862	0.000156	0.001968	0.003167	0.003094	0.00189	0.001894	0.001353	1.7e-05	0.001446	0.001893	0.001618	0.000379	0.004548	0.001695	0.001887	0.002547	0.000332	0.002218	0.003471	0.000103	0.006224	0.000583	0.003662	0.003742	0.000276	0.001444	0.001233	0.000518	0.00194	0.000913	0.001152	0.001498	0.000761	0.001185	0.000643	0.000141	0.000963	0.000786	0.001177	0.00072	0.000906	0.000674	-0.185372079515	0.00264458421296	0
Luxembourg	0.094962	0.061601	0.049822	0.054546	0.046626	0.046511	0.024479	0.031228	0.031229	0.021293	0.02004	0.017141	0.023439	0.024364	0.005472	0.011786	0.015976	0.009409	0.011003	0.007882	0.009622	0.003081	0.00927	0.007383	0.009993	0.009325	0.00779	0.011443	0.009228	0.00431	0.004283	0.006039	0.00898	0.006552	0.003289	0.00528	0.005304	0.00594	0.005793	0.005144	0.004527	0.003679	0.005896	0.002063	0.005449	0.003905	0.002949	0.003189	0.005335	0.001632	0.002285	0.003003	0.001097	0.003451	0.001773	0.003269	0.002394	0.004094	0.001565	0.000648	0.000941	0.002045	0.000958	0.001245	0.002397	0.001704	0.001994	0.002463	0.001548	0.00228	0.002438	0.001275	0.000198	0.001423	0.001111	0.002021	0.001962	0.001419	0.00162	0.002297	0.00179	0.001476	0.002018	0.001385	0.001038	0.001546	0.001219	0.001897	0.002356	0.001904	0.001394	0.00192	0.00127	0.001976	-0.166041236734	0.0344235383005	0
Bahamas	0.039306	0.03501	0.10397	0.035756	0.041736	0.008483	0.054353	0.014813	0.016861	0.007988	0.048248	0.028376	0.012928	0.001474	0.049435	0.010479	0.001332	0.015833	0.005289	0.000656	0.005599	0.026399	0.0037	0.003985	0.004806	0.005675	0.010648	0.002908	0.00342	0.022885	0.003659	0.010564	0.002559	0.004131	0.000581	0.001602	0.002335	0.00613	0.001738	0.000311	0.002375	0.004783	0.001254	0.005819	0.001389	0.003825	0.013329	0.004815	0.001044	0.003517	0.001118	0.003541	0.000246	0.002041	0.001645	0.001711	0.000852	0.001269	0.004038	5.7e-05	0.001991	0.00286	0.000649	0.001446	2.9e-05	0.004515	0.003724	0.000952	0.000557	0.001191	0.001731	0.000704	0.00232	4.5e-05	0.000879	2.4e-05	0.002945	0.001771	0.000684	0.000129	0.001213	0.003823	0.001139	0.001768	0.004048	0.002321	0.001427	0.00268	0.00041	0.001087	0.001235	0.000104	0.001565	0.000487	-0.102910187442	0.128756149744	2
Ireland	0.089432	0.070318	0.040384	0.061761	0.053798	0.043187	0.019808	0.029779	0.032107	0.030278	0.018651	0.014327	0.021353	0.021859	0.0099	0.012724	0.009156	0.008652	0.007586	0.00321	0.005648	0.005309	0.008344	0.010886	0.010624	0.005569	0.006372	0.009228	0.010246	0.005186	0.009031	0.007785	0.007759	0.006654	0.007435	0.012538	0.007938	0.005851	0.005325	0.002023	0.005275	0.004557	0.006422	0.003412	0.005591	0.00385	0.002033	0.003316	0.005023	0.003511	0.00319	0.002491	0.000748	0.001884	0.003346	0.003267	0.002005	0.004249	0.002629	0.000141	0.000733	0.001504	0.00337	0.000596	0.001527	0.00132	0.001725	0.004039	0.001671	0.002671	0.00254	0.000257	0.0	0.002956	0.001214	0.000167	0.002086	0.001577	0.001862	0.002033	0.001883	0.000888	0.000634	0.001299	0.000762	0.001273	0.000968	0.003049	0.001198	0.00125	0.001419	0.001663	0.000832	0.001802	-0.167769810328	0.0298446692507	0
Nigeria	0.025803	0.023923	0.087325	0.023689	0.037466	0.002228	0.039686	0.009603	0.019058	0.006002	0.04299	0.025468	0.012563	0.001896	0.081766	0.007351	0.000274	0.013586	0.006297	0.001199	0.012561	0.042736	0.005148	0.005702	0.004217	0.005149	0.012897	0.00077	0.003542	0.02166	0.001528	0.008178	8e-05	0.000618	0.000429	0.000353	0.000601	0.00489	0.00078	0.00011	0.002209	0.004983	0.000501	0.007224	0.000407	0.005603	0.011619	0.003974	0.000105	0.006919	0.002367	0.002039	0.00031	0.000759	0.000731	0.001021	0.001389	0.000122	0.001902	0.000796	0.001027	0.002523	0.000385	0.000508	7e-05	0.003246	0.004786	0.001743	0.000854	0.001318	0.000262	0.000755	0.000988	5.7e-05	7.2e-05	0.000198	0.001721	0.001758	0.000492	0.000135	0.000753	0.00263	0.002462	0.001804	0.003106	0.001787	0.001146	0.000491	0.000155	6.3e-05	0.001176	8e-05	0.001846	0.000621	-0.077095432846	0.126285984972	2
Ecuador	0.109455	0.05002	0.054103	0.063613	0.040259	0.038638	0.018794	0.038921	0.025631	0.021932	0.00967	0.019353	0.011712	0.004867	0.008	0.010416	0.018189	0.008489	0.004403	0.008911	0.009766	0.004617	0.003747	0.005594	0.010967	0.003044	0.008102	0.006995	0.011288	0.004074	0.003226	0.006299	0.010979	0.008082	0.000903	0.008334	0.006151	0.007847	0.005649	0.00467	0.002064	0.003348	0.005147	0.005281	0.005965	0.003809	0.002868	0.003507	0.004061	0.001784	0.002323	0.000172	0.000229	0.001882	0.002572	0.003032	0.002277	0.001842	0.002318	4.5e-05	0.001284	0.002733	0.000695	0.001112	0.002139	0.001808	0.00216	0.001852	0.000675	0.002027	0.002277	0.000187	0.01524	0.000385	0.00046	0.00178	0.000385	0.001507	0.001038	0.000176	0.001688	0.000965	0.002113	0.001442	0.00157	0.001331	0.000754	0.000518	0.002058	0.001	0.001242	0.000536	0.001453	0.000884	-0.170065230796	0.0241533136441	0
Czech Republic	0.102102	0.063246	0.032471	0.067444	0.055108	0.042443	0.016752	0.036314	0.030955	0.024613	0.011369	0.015187	0.017194	0.018323	0.0061	0.01356	0.018734	0.008933	0.007094	0.013943	0.008109	0.003258	0.009656	0.01015	0.009183	0.003931	0.00591	0.007647	0.01008	0.002574	0.00492	0.00452	0.008709	0.010623	0.005666	0.006277	0.007187	0.006177	0.005674	0.007861	0.005804	0.002682	0.005374	0.001508	0.006118	0.003633	0.001564	0.002944	0.005233	0.0019	0.004501	0.00272	0.003423	0.002837	0.002349	0.003466	0.001299	0.003152	0.001509	0.002205	0.001372	0.001899	0.001453	0.001128	0.002508	0.001112	0.0016	0.002358	0.000723	0.002411	0.004071	0.004578	0.0	0.000931	0.005385	0.003133	0.000943	0.001203	0.001699	0.001685	0.001636	0.000658	0.001544	0.001158	0.000534	0.001148	0.000832	0.001256	0.001318	0.001131	0.001231	0.001914	0.001052	0.000576	-0.175550677072	0.0118873934911	0
Australia	0.078362	0.075595	0.043324	0.060126	0.066336	0.027782	0.020245	0.030609	0.026047	0.030251	0.013776	0.017756	0.016188	0.016482	0.017067	0.017845	0.007557	0.009458	0.00857	0.003531	0.010458	0.009784	0.009913	0.011367	0.007284	0.001155	0.006119	0.004356	0.007159	0.005418	0.008682	0.008748	0.007976	0.00677	0.00438	0.007416	0.007457	0.005497	0.00461	0.001785	0.007826	0.004466	0.004165	0.001789	0.004981	0.005143	0.00321	0.003612	0.002776	0.006177	0.002676	0.002951	0.00041	0.010225	0.004783	0.002814	0.002693	0.001887	0.00412	0.0	0.001523	0.001565	0.004676	0.000968	0.00148	0.0015	0.002111	0.001007	0.001054	0.002176	0.001629	0.000175	0.0	0.004111	0.00143	0.000292	0.001046	0.001792	0.001902	0.001722	0.001698	0.000872	0.001301	0.00157	0.000896	0.001133	0.001228	0.001705	0.000601	0.000151	0.001175	0.000878	0.001001	0.001045	-0.161067740389	0.0404817349348	3
Algeria	0.07911	0.060997	0.043461	0.050267	0.046101	0.033429	0.023888	0.02792	0.028375	0.020285	0.017984	0.015176	0.016649	0.017505	0.010797	0.013428	0.015577	0.008667	0.009352	0.00872	0.010117	0.005518	0.009014	0.007517	0.008776	0.013666	0.007837	0.012506	0.00768	0.004868	0.004847	0.005392	0.007405	0.003665	0.005541	0.003759	0.006467	0.004982	0.006453	0.008615	0.00505	0.004409	0.004475	0.004385	0.005928	0.003527	0.003181	0.00277	0.003851	0.002254	0.002184	0.002235	0.005048	0.002478	0.001226	0.003093	0.003312	0.001868	0.002378	0.008416	0.000864	0.001753	0.00097	0.002471	0.002691	0.001581	0.001832	0.001632	0.004666	0.002151	0.000671	0.003098	0.0004	0.000946	0.000796	0.001089	0.001898	0.001202	0.001683	0.001873	0.001421	0.001299	0.002432	0.001354	0.001021	0.000994	0.001113	0.0018	0.002242	0.001214	0.00133	0.001713	0.001369	0.000714	-0.147399095936	0.0356810550088	3
El Salvador	0.100974	0.053587	0.057594	0.062473	0.044305	0.031207	0.022375	0.038575	0.025369	0.021064	0.011945	0.020378	0.010924	0.005909	0.01003	0.012756	0.017627	0.009138	0.005417	0.010905	0.01203	0.005924	0.004002	0.005679	0.010001	0.003168	0.008279	0.005386	0.010702	0.004408	0.002965	0.005391	0.012837	0.007578	0.000681	0.006153	0.005327	0.007754	0.005197	0.006532	0.002134	0.003576	0.004768	0.004166	0.005227	0.004687	0.003403	0.00365	0.002879	0.003723	0.002155	0.000133	0.000302	0.002997	0.002476	0.002877	0.002268	0.001657	0.002511	7.3e-05	0.001239	0.002668	0.001203	0.001392	0.002355	0.002238	0.002397	0.002896	0.000753	0.001966	0.001856	0.000212	0.011883	0.000269	0.000571	0.002263	0.000369	0.00242	0.001254	0.000521	0.0016	0.001156	0.002416	0.001537	0.001566	0.001256	0.000996	4.8e-05	0.001155	0.000778	0.001215	0.000745	0.001559	0.000791	-0.166135186272	0.0334380485799	0
Chile	0.107102	0.06166	0.04554	0.072703	0.043951	0.030562	0.021244	0.044435	0.027625	0.027373	0.006394	0.017022	0.009379	0.004833	0.006955	0.012483	0.014636	0.007995	0.002603	0.009442	0.005869	0.00422	0.0039	0.007151	0.011215	0.00183	0.006542	0.003776	0.013783	0.00286	0.005645	0.007152	0.015539	0.009719	0.001697	0.012433	0.007375	0.00901	0.006218	0.004386	0.001925	0.0035	0.004072	0.003467	0.00606	0.003719	0.002524	0.003596	0.00351	0.001771	0.002366	0.000211	0.00016	0.001763	0.004196	0.003253	0.002246	0.001445	0.004091	0.0	0.001007	0.00223	0.001631	0.000642	0.002146	0.001607	0.002134	0.001576	0.00036	0.00236	0.003542	0.000134	0.006432	0.000698	0.000653	0.002709	0.000317	0.0016	0.001473	0.001001	0.001753	0.001027	0.000951	0.001401	0.001247	0.001321	0.000522	6.8e-05	0.000457	0.0	0.001283	0.000572	0.001162	0.000406	-0.176694796216	0.0177257520206	0
Puerto Rico	0.094117	0.060419	0.0531	0.063531	0.052129	0.032706	0.025066	0.034376	0.022635	0.025567	0.011743	0.017206	0.00979	0.004655	0.014392	0.01592	0.014714	0.010397	0.004226	0.008144	0.00751	0.007825	0.006561	0.006987	0.009788	0.003211	0.006985	0.005123	0.005893	0.00569	0.00731	0.005411	0.007488	0.00985	0.0026	0.009227	0.007258	0.00592	0.006299	0.004688	0.003487	0.004049	0.004621	0.006623	0.005323	0.004185	0.003772	0.003679	0.002187	0.002984	0.002019	7.1e-05	0.000272	0.003135	0.003437	0.002998	0.002495	0.001899	0.002388	0.0	0.003648	0.002496	0.003728	0.000554	0.002538	0.001968	0.0023	0.001603	0.000569	0.001787	0.003139	0.000211	0.008963	0.00267	0.002251	0.002021	0.00075	0.001531	0.001952	0.000344	0.001906	0.00119	0.001249	0.001772	0.001527	0.001239	0.000978	0.000819	0.0014	0.001197	0.001163	0.00051	0.001175	0.00156	-0.165047733718	0.0356371484407	0
Belgium	0.090178	0.069921	0.033191	0.059858	0.05166	0.043648	0.019697	0.030167	0.030436	0.027659	0.020153	0.014392	0.02284	0.027304	0.00997	0.011577	0.010596	0.00877	0.010876	0.004661	0.007554	0.005089	0.010787	0.009701	0.009273	0.007603	0.007038	0.011939	0.007808	0.004687	0.006899	0.007047	0.007763	0.006088	0.005801	0.007686	0.007557	0.005381	0.005549	0.00346	0.005895	0.00489	0.006116	0.003862	0.00655	0.00359	0.002238	0.00316	0.005711	0.004184	0.002817	0.003039	0.001219	0.003526	0.001699	0.003552	0.002605	0.004152	0.00095	0.000157	0.000645	0.001332	0.002773	0.000836	0.002091	0.001162	0.002037	0.002098	0.001445	0.002396	0.002496	0.000396	0.0	0.002822	0.000235	0.000459	0.0029	0.001291	0.001702	0.002865	0.001728	0.000804	0.001387	0.001544	0.000626	0.001199	0.001041	0.00261	0.001866	0.000956	0.001282	0.002452	0.001022	0.001034	-0.165487669731	0.0256134467294	0
